name,median_income,white_pop,black_pop,asian_pop,hispanic_pop,tract,total_pop,white_percent,black_percent,asian_percent,hispanic_percent,centroid
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1834219.4178787284 2190180.257156579)
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1583061.223224724 2323079.772238207)
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1804993.9038685595 2266265.817215981)
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1826339.5382880191 2381183.3624691134)
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1823746.3200647708 2176139.7657163017)
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1566101.5339074724 2281629.8135709707)
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1635412.8062152585 2296150.074394716)
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1797479.3303710867 2397226.776537754)
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1827621.6053273599 2177974.482375897)
"Census Tract 1, Albany County, New York",44871.0,530.0,1086.0,87.0,311.0,000100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.441906653426019,POINT (1594518.0728702107 2397058.887796297)
"Census Tract 2.01, Albany County, New York",42456.0,521.0,1945.0,109.0,165.0,000201,2740.0,19.014598540145986,70.98540145985402,3.9781021897810223,6.021897810218978,POINT (1796256.3200460766 2395723.4492021156)
"Census Tract 2.01, Albany County, New York",42456.0,521.0,1945.0,109.0,165.0,000201,2740.0,19.014598540145986,70.98540145985402,3.9781021897810223,6.021897810218978,POINT (1828040.6972348823 2179179.272635287)
"Census Tract 2.01, Albany County, New York",42456.0,521.0,1945.0,109.0,165.0,000201,2740.0,19.014598540145986,70.98540145985402,3.9781021897810223,6.021897810218978,POINT (1583995.651644288 2323511.938050188)
"Census Tract 2.02, Albany County, New York",24792.0,124.0,2316.0,0.0,71.0,000202,2511.0,4.938271604938271,92.23416965352449,0.0,2.8275587415372363,POINT (1796447.87971835 2396760.665615924)
"Census Tract 2.02, Albany County, New York",24792.0,124.0,2316.0,0.0,71.0,000202,2511.0,4.938271604938271,92.23416965352449,0.0,2.8275587415372363,POINT (1828496.6546301565 2179313.0263810945)
"Census Tract 2.02, Albany County, New York",24792.0,124.0,2316.0,0.0,71.0,000202,2511.0,4.938271604938271,92.23416965352449,0.0,2.8275587415372363,POINT (1583819.103631416 2323310.7249589073)
"Census Tract 2.02, Albany County, New York",24792.0,124.0,2316.0,0.0,71.0,000202,2511.0,4.938271604938271,92.23416965352449,0.0,2.8275587415372363,POINT (1828882.383151063 2203702.2407012437)
"Census Tract 3.01, Albany County, New York",40666.0,1155.0,1251.0,221.0,836.0,000301,3463.0,33.35258446433728,36.12474732890557,6.381749927808259,24.140918278948888,POINT (1794187.1354929267 2396866.6100661093)
"Census Tract 3.01, Albany County, New York",40666.0,1155.0,1251.0,221.0,836.0,000301,3463.0,33.35258446433728,36.12474732890557,6.381749927808259,24.140918278948888,POINT (1804778.6471618058 2264755.2814475605)
"Census Tract 3.01, Albany County, New York",40666.0,1155.0,1251.0,221.0,836.0,000301,3463.0,33.35258446433728,36.12474732890557,6.381749927808259,24.140918278948888,POINT (1827429.627522709 2177487.0388145945)
"Census Tract 3.02, Albany County, New York",42370.0,2180.0,457.0,387.0,155.0,000302,3179.0,68.57502359232464,14.37558980811576,12.173639509279647,4.875747090279963,POINT (1793414.1670448815 2397752.830018501)
"Census Tract 3.02, Albany County, New York",42370.0,2180.0,457.0,387.0,155.0,000302,3179.0,68.57502359232464,14.37558980811576,12.173639509279647,4.875747090279963,POINT (1804458.7446358977 2265321.141645216)
"Census Tract 4.01, Albany County, New York",75994.0,2122.0,201.0,17.0,82.0,000401,2422.0,87.61354252683734,8.298926507018994,0.7018992568125516,3.3856317093311312,POINT (1809476.3918202622 2366941.132844994)
"Census Tract 4.01, Albany County, New York",75994.0,2122.0,201.0,17.0,82.0,000401,2422.0,87.61354252683734,8.298926507018994,0.7018992568125516,3.3856317093311312,POINT (1786316.0350820073 2398870.1266787346)
"Census Tract 4.01, Albany County, New York",75994.0,2122.0,201.0,17.0,82.0,000401,2422.0,87.61354252683734,8.298926507018994,0.7018992568125516,3.3856317093311312,POINT (1828905.775807353 2205605.675821254)
"Census Tract 4.03, Albany County, New York",77835.0,2926.0,651.0,459.0,218.0,000403,4254.0,68.7823225199812,15.30324400564175,10.78984485190409,5.124588622472967,POINT (1828707.7462890123 2206445.196755522)
"Census Tract 4.03, Albany County, New York",77835.0,2926.0,651.0,459.0,218.0,000403,4254.0,68.7823225199812,15.30324400564175,10.78984485190409,5.124588622472967,POINT (1791808.5728517543 2396789.240934977)
"Census Tract 5.01, Albany County, New York",25104.0,1193.0,1527.0,181.0,491.0,000501,3392.0,35.17099056603774,45.01768867924528,5.336084905660377,14.475235849056602,POINT (1827661.9779307654 2177477.6095792623)
"Census Tract 5.01, Albany County, New York",25104.0,1193.0,1527.0,181.0,491.0,000501,3392.0,35.17099056603774,45.01768867924528,5.336084905660377,14.475235849056602,POINT (1830050.2285049253 2206175.20834755)
"Census Tract 5.01, Albany County, New York",25104.0,1193.0,1527.0,181.0,491.0,000501,3392.0,35.17099056603774,45.01768867924528,5.336084905660377,14.475235849056602,POINT (1595925.3927749882 2397047.1587216645)
"Census Tract 5.01, Albany County, New York",25104.0,1193.0,1527.0,181.0,491.0,000501,3392.0,35.17099056603774,45.01768867924528,5.336084905660377,14.475235849056602,POINT (1805533.2457457911 2264535.755331098)
"Census Tract 5.01, Albany County, New York",25104.0,1193.0,1527.0,181.0,491.0,000501,3392.0,35.17099056603774,45.01768867924528,5.336084905660377,14.475235849056602,POINT (1793787.6905439917 2396509.515526512)
"Census Tract 5.02, Albany County, New York",61354.0,2289.0,759.0,404.0,443.0,000502,3895.0,58.767650834403085,19.486521181001283,10.372272143774069,11.373555840821565,POINT (1829849.5135509563 2205731.166585371)
"Census Tract 5.02, Albany County, New York",61354.0,2289.0,759.0,404.0,443.0,000502,3895.0,58.767650834403085,19.486521181001283,10.372272143774069,11.373555840821565,POINT (1793532.6868399372 2396066.0684330184)
"Census Tract 5.02, Albany County, New York",61354.0,2289.0,759.0,404.0,443.0,000502,3895.0,58.767650834403085,19.486521181001283,10.372272143774069,11.373555840821565,POINT (1806146.96829677 2264075.3759885943)
"Census Tract 5.02, Albany County, New York",61354.0,2289.0,759.0,404.0,443.0,000502,3895.0,58.767650834403085,19.486521181001283,10.372272143774069,11.373555840821565,POINT (1827829.477390133 2177438.86677957)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1581973.2475260173 2327168.845035238)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1803665.9236574674 2264144.7542248615)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1805191.8854417363 2358749.748902366)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1838599.260952014 2178924.3070044904)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1827748.3062208476 2179141.31999923)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1565513.1141248562 2279809.1235982147)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1639362.7074988317 2297731.6112663685)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1388933.0577233161 2330471.4515581504)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1824320.747777939 2167669.6100298357)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1794632.6140040425 2396050.1175563065)
"Census Tract 6, Albany County, New York",21828.0,1206.0,1081.0,986.0,407.0,000600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,POINT (1596125.7818042145 2397801.3438792513)
"Census Tract 7, Albany County, New York",40584.0,529.0,2386.0,33.0,260.0,000700,3208.0,16.49002493765586,74.37655860349128,1.0286783042394014,8.104738154613466,POINT (1582664.0659094837 2324308.081094781)
"Census Tract 7, Albany County, New York",40584.0,529.0,2386.0,33.0,260.0,000700,3208.0,16.49002493765586,74.37655860349128,1.0286783042394014,8.104738154613466,POINT (1596689.9018738873 2397837.284308591)
