County,median_income,white_pop,black_pop,asian_pop,hispanic_pop,tract,total_pop,white_percent,black_percent,asian_percent,hispanic_percent,county_tract,tract_y,nearest_store,distance_to_nearest_store,nearest_store_name
BRONX,28611.0,152.0,305.0,73.0,1943.0,15900,2473.0,6.146380913869794,12.333198544278206,2.951880307319046,78.56854023453296,BRONX_15900,15900,20244,143.42483797670556,LUCKY 2 GOURMET DELI INC
BRONX,86517.0,2841.0,89.0,252.0,1365.0,16000,4547.0,62.48075654277546,1.9573345062678689,5.542115680668572,30.019793270288105,BRONX_16000,16000,18297,1105.3502629681784,HEALTHYHOLIC INC
BRONX,19599.0,260.0,1752.0,0.0,3073.0,16100,5085.0,5.11307767944936,34.45427728613569,0.0,60.43264503441495,BRONX_16100,16100,8679,27.88984028546736,BRYANT DELI CORP
BRONX,85909.0,895.0,103.0,146.0,743.0,16200,1887.0,47.42978272390037,5.458399576046634,7.737148913619501,39.37466878643349,BRONX_16200,16200,21539,172.64947856302064,AKSHAR 3659 DELI AND GROCERY LLC
BRONX,66681.0,662.0,84.0,147.0,329.0,16400,1222.0,54.1734860883797,6.873977086743044,12.029459901800326,26.923076923076923,BRONX_16400,16400,17378,179.36438457683573,GOLDEN STAR GOURMET CORP
BRONX,35156.0,196.0,707.0,9.0,463.0,16500,1375.0,14.254545454545456,51.41818181818182,0.6545454545454545,33.67272727272727,BRONX_16500,16500,8867,119.47728316738664,KRINOS FOODS LLC
BRONX,95372.0,828.0,241.0,191.0,1367.0,16600,2627.0,31.51884278644842,9.173962695089456,7.270650932622763,52.03654358583936,BRONX_16600,16600,21629,322.5865899879671,FARHADI SEAN
BRONX,46481.0,386.0,2007.0,0.0,2205.0,16700,4598.0,8.394954327968682,43.64941278816877,0.0,47.95563288386255,BRONX_16700,16700,12862,208.85677487831356,3 BROS GOURMET DELI INC
BRONX,45273.0,146.0,817.0,0.0,864.0,16900,1827.0,7.991242474001095,44.71811713191023,0.0,47.29064039408867,BRONX_16900,16900,2718,35.1527645968849,JJN CORPORATION
BRONX,29063.0,733.0,3185.0,107.0,3801.0,17300,7826.0,9.36621518016867,40.69767441860465,1.3672374137490415,48.56887298747764,BRONX_17300,17300,17610,100.92270279961495,TELLER MART LLC
BRONX,25767.0,601.0,3927.0,0.0,3319.0,17500,7847.0,7.658977953357972,50.04460303300624,0.0,42.29641901363578,BRONX_17500,17500,355,54.01151972873882,LA POTENCIA DELI GROCERY STORE CORP
BRONX,33428.0,534.0,2735.0,8.0,2677.0,17701,5954.0,8.968760497144777,45.93550554249244,0.1343634531407457,44.96137050722204,BRONX_17701,17701,23978,132.90981461249504,393 MUNCHIES DELI GROCERY CORPORATION
BRONX,42262.0,642.0,2875.0,49.0,2432.0,17702,5998.0,10.703567855951984,47.93264421473825,0.8169389796598866,40.546848949649885,BRONX_17702,17702,14945,92.36031391978392,ANLY & MADALY DELI-GROCERY INC
BRONX,42774.0,970.0,1428.0,59.0,3615.0,17901,6072.0,15.974967061923584,23.517786561264824,0.97167325428195,59.53557312252964,BRONX_17901,17901,4599,93.58696808224502,1217 GUZMAN DELI FOOD CORP
BRONX,36614.0,620.0,1366.0,13.0,2918.0,17902,4917.0,12.609314622737442,27.781167378482813,0.2643888549928818,59.345129143786856,BRONX_17902,17902,15693,123.6455972803347,NUEVA ESPERANZA DELI 2 CORP
BRONX,48464.0,113.0,1407.0,1.0,2390.0,18101,3911.0,2.8892866274610074,35.97545384812069,0.0255689082076195,61.109690616210685,BRONX_18101,18101,5073,73.29329612932861,CORNER FRESH MARKET CORP
BRONX,30063.0,627.0,2380.0,88.0,3343.0,18102,6438.0,9.739049394221809,36.968002485243865,1.3668841255048152,51.92606399502952,BRONX_18102,18102,16275,49.35852592744883,180 LA DELI GROCERY CORP
BRONX,43350.0,946.0,1476.0,113.0,2562.0,18301,5097.0,18.55993721797136,28.95821071218364,2.216990386501864,50.26486168334314,BRONX_18301,18301,2202,78.87117399105969,MG DELI GROCERY CORP
BRONX,57180.0,202.0,1633.0,16.0,2038.0,18302,3889.0,5.194137310362561,41.99022885060427,0.411416816662381,52.4042170223708,BRONX_18302,18302,15636,108.1791228207062,YUMMY HAPPY GOURMET DELI INC
BRONX,105052.0,2444.0,138.0,356.0,1834.0,18400,4772.0,51.215423302598495,2.8918692372171,7.460184409052808,38.4325230511316,BRONX_18400,18400,7849,118.80809421898184,1307 CORP
BRONX,47826.0,122.0,2144.0,0.0,1217.0,18501,3483.0,3.502727533735286,61.55612977318403,0.0,34.94114269308068,BRONX_18501,18501,3071,141.199328915118,7 H GROUP INC.
BRONX,23508.0,517.0,2817.0,0.0,3975.0,18502,7309.0,7.073471063072924,38.5415241483103,0.0,54.385004788616776,BRONX_18502,18502,3765,109.94767168149014,1086 BOSTON RD DELI CORP
BRONX,36087.0,1599.0,3432.0,97.0,4443.0,18900,9571.0,16.70671821126319,35.85832201441856,1.0134782154424826,46.42148155887577,BRONX_18900,18900,7393,14.185061769081168,PASCUAL MINI MARKET CORP
BRONX,35291.0,730.0,3093.0,57.0,4752.0,19300,8632.0,8.45690454124189,35.83178869323448,0.6603336422613532,55.05097312326228,BRONX_19300,19300,5398,151.6175890482802,FAMILY DOLLAR STORES OF NEW YORK LLC
BRONX,63452.0,762.0,341.0,205.0,1140.0,19400,2448.0,31.12745098039216,13.929738562091504,8.374183006535947,46.5686274509804,BRONX_19400,19400,15627,418.1630925637714,BIG O OF DA BRONX INC
BRONX,44323.0,1275.0,3298.0,50.0,4930.0,19500,9553.0,13.346592693394744,34.523186433581074,0.5233957918978331,51.60682508112635,BRONX_19500,19500,15413,68.5960900725477,ALHANSHALI NASSR&YASER
BRONX,31008.0,1967.0,1240.0,466.0,5830.0,19700,9503.0,20.698726717878564,13.048510996527412,4.903714616436915,61.34904766915711,BRONX_19700,19700,15558,47.76037093209573,CVS ALBANY LLC
BRONX,37080.0,981.0,3644.0,0.0,4593.0,19900,9218.0,10.642221740073769,39.53135170318941,0.0,49.82642655673682,BRONX_19900,19900,9039,58.88108898496721,ROYALTY DELI GROCERY
BRONX,41250.0,797.0,671.0,1192.0,3054.0,20000,5714.0,13.948197409870494,11.743087154357717,20.86104305215261,53.44767238361919,BRONX_20000,20000,15614,39.20406689788484,LA TIENDITA DONA FIDE 2 CORP
BRONX,38235.0,346.0,1450.0,1.0,2500.0,20100,4297.0,8.052129392599488,33.74447288806144,0.0232720502676285,58.18012566907144,BRONX_20100,20100,16044,177.4858988240272,1359 OGDEN GROCERY CORP
BRONX,48204.0,218.0,377.0,443.0,1461.0,20200,2499.0,8.723489395758303,15.086034413765509,17.727090836334533,58.463385354141664,BRONX_20200,20200,23091,101.05767799199104,MAYOR JOSE F
BRONX,57159.0,828.0,281.0,355.0,2454.0,20400,3918.0,21.133231240428792,7.172026544155181,9.060745278203166,62.63399693721286,BRONX_20400,20400,9623,101.02254559134704,LATIN DELI GROCERY LLC
BRONX,19147.0,1499.0,1123.0,73.0,6215.0,20501,8910.0,16.823793490460158,12.603815937149273,0.819304152637486,69.75308641975309,BRONX_20501,20501,11600,248.1581914370124,1538 DELI GROCERY CORP
BRONX,37946.0,142.0,1064.0,22.0,1820.0,20502,3048.0,4.658792650918636,34.90813648293963,0.7217847769028871,59.71128608923885,BRONX_20502,20502,7390,190.533671204564,JASON DELI & GROCERY CORP
BRONX,53750.0,355.0,329.0,859.0,998.0,20601,2541.0,13.970877607241244,12.947658402203857,33.8055883510429,39.275875639512,BRONX_20601,20601,5941,126.8187664833216,1500 AMERICAN GOURMET CORP
BRONX,39489.0,598.0,2011.0,26.0,3056.0,20900,5691.0,10.507819363907926,35.33649622210508,0.4568617114742576,53.698822702512736,BRONX_20900,20900,2389,107.73097167565284,LA FLOTA DELI GROCERY CORP
BRONX,56258.0,468.0,4290.0,647.0,3275.0,21001,8680.0,5.391705069124424,49.42396313364056,7.453917050691245,37.73041474654378,BRONX_21001,21001,1416,134.42043054243535,1531 METRO DELI INC
